pos_x,pos_y,colour,emoji
0,0,white,emojis/emoji1.png
0.228,0.54675,greenyellow,emojis/emoji2.png
0,-0.54675,skyblue,emojis/emoji3.png
-0.285,0.4374,tomato,emojis/emoji4.png
0.285,0.4374,blueviolet,emojis/emoji5.png
-0.285,0.54675,greenyellow,emojis/emoji6.png
-0.35,0,tomato,emojis/emoji7.png
-0.1995,0.164025,skyblue,emojis/emoji8.png
-0.0855,0.382725,white,emojis/emoji9.png
-0.285,-0.4374,blueviolet,emojis/emoji10.png
-0.228,0.54675,skyblue,emojis/emoji11.png
-0.228,-0.54675,white,emojis/emoji12.png
0,0.7,greenyellow,emojis/emoji13.png
0.285,-0.54675,tomato,emojis/emoji14.png
-0.0855,-0.382725,blueviolet,emojis/emoji15.png
-0.285,-0.54675,greenyellow,emojis/emoji16.png
0,-0.7,skyblue,emojis/emoji17.png
0.285,0.54675,white,emojis/emoji18.png
0.0855,0.382725,tomato,emojis/emoji19.png
0.1995,-0.164025,blueviolet,emojis/emoji20.png
0.228,-0.54675,skyblue,emojis/emoji21.png
-0.1995,-0.164025,greenyellow,emojis/emoji22.png
0,0.54675,white,emojis/emoji23.png
0.285,-0.4374,tomato,emojis/emoji24.png
0.0855,-0.382725,greenyellow,emojis/emoji25.png
0.35,0,skyblue,emojis/emoji26.png
-0.285,0,blueviolet,emojis/emoji27.png
0.285,0,tomato,emojis/emoji28.png
0.1995,0.164025,greenyellow,emojis/emoji29.png
